submitted_id	current_id	converted_id	current_symbol
CG1943	FBgn0037468	FBgn0037468	CG1943
CG8195	FBgn0034032	FBgn0034032	CG8195
bcn92	FBgn0013432	FBgn0013432	bcn92
CG33635	FBgn0053635	FBgn0053635	CG33635
CG17652	FBgn0031361	FBgn0031361	CG17652
baf	FBgn0031977	FBgn0031977	baf
CG9920	FBgn0038200	FBgn0038200	CG9920
CG10904	FBgn0034945	FBgn0034945	CG10904
CG9413	FBgn0030574	FBgn0030574	CG9413
CG8072	FBgn0036070	FBgn0036070	CG8072
CG14054	FBgn0029596	FBgn0029596	CG14054
CG11382	FBgn0040367	FBgn0040367	CG11382
Df31	FBgn0022893	FBgn0022893	Df31
mRpL11	FBgn0038234	FBgn0038234	mRpL11
CG9090	FBgn0082770	FBgn0082770	Dsec\GM19795
CG9090	FBgn0034497	FBgn0034497	CG9090
CG9090	FBgn0082745	FBgn0082745	Dsim\GD25287
CG42776	FBgn0261844	FBgn0261844	pre-mod(mdg4)-V
Vrp1	FBgn0243516	FBgn0243516	Vrp1
CG9447	FBgn0033110	FBgn0033110	CG9447
CG9883	FBgn0031435	FBgn0031435	Elba2
CG2656	FBgn0037478	FBgn0037478	CG2656
l(1)10Bb	FBgn0001491	FBgn0001491	l(1)10Bb
CG5284	FBgn0036566	FBgn0036566	ClC-c
CG42771	FBgn0261839	FBgn0261839	pre-mod(mdg4)-Y
snoRNA:Psi28S-2442a	FBgn0082989	FBgn0082989	snoRNA:Psi28S-2442a
CG30383	FBgn0050383	FBgn0050383	CG30383
CG13601	FBgn0039126	FBgn0039126	CG13601
CG15056	FBgn0030918	FBgn0030918	CG15056
CG6733	FBgn0039052	FBgn0039052	CG6733
Ten-a	FBgn0267001	FBgn0267001	Ten-a
CG42659	FBgn0261531	FBgn0261531	CG42659
fray	FBgn0023083	FBgn0023083	fray
CG14117	FBgn0036331	FBgn0036331	CG14117
p24-1	FBgn0030341	FBgn0030341	p24-1
CG9986	FBgn0039589	FBgn0039589	CG9986
CG13698	FBgn0036773	FBgn0036773	CG13698
CG12162	FBgn0037329	FBgn0037329	CG12162
RhoGAP92B	FBgn0038747	FBgn0038747	RhoGAP92B
nito	FBgn0027548	FBgn0027548	nito
Xbp1	FBgn0021872	FBgn0021872	Xbp1
RpL27A	FBgn0261606	FBgn0261606	RpL27A
CG11577	FBgn0036847	FBgn0036847	CG11577
dm	FBgn0262656	FBgn0262656	dm
CG12714	FBgn0263005	FBgn0263005	CG43313
abba	unknown ID	-	-
CG3902	FBgn0036824	FBgn0036824	CG3902
lig	FBgn0020279	FBgn0020279	lig
Ncc69	FBgn0036279	FBgn0036279	Ncc69
CG42270	FBgn0261570	FBgn0261570	CG42684
CG5602	FBgn0262619	FBgn0262619	DNA-ligI
NHP2	FBgn0029148	FBgn0029148	NHP2
CG1494	FBgn0031169	FBgn0031169	CG1494
yuri	FBgn0045842	FBgn0045842	yuri
CG11168	FBgn0039249	FBgn0039249	CG11168
und	FBgn0025117	FBgn0025117	und
CG5087	FBgn0035953	FBgn0035953	CG5087
CG14438	FBgn0029899	FBgn0029899	CG14438
CG14438	FBgn0068695	FBgn0068695	Dsim\CG14438
CG14438	FBgn0084600	FBgn0084600	Dmir\CG14438
unk	FBgn0004395	FBgn0004395	unk
CG6833	FBgn0036405	FBgn0036405	CG6833
alphaTub84B	FBgn0003884	FBgn0003884	alphaTub84B
Ada1-2	FBgn0051866	FBgn0051866	Ada1-2
Acox57D-p	FBgn0034628	FBgn0034628	Acox57D-p
mRpL44	FBgn0037330	FBgn0037330	mRpL44
Drep-1	FBgn0024732	FBgn0024732	Drep-1
CG8740	FBgn0027585	FBgn0027585	CG8740
CG15087	FBgn0034380	FBgn0034380	CG15087
tko	FBgn0003714	FBgn0003714	tko
Trax	FBgn0038327	FBgn0038327	Trax
CG8738	FBgn0033321	FBgn0033321	CG8738
CG6406	FBgn0034269	FBgn0034269	CG6406
CG6567	FBgn0037842	FBgn0037842	CG6567
smi35A	unknown ID	-	-
CG14965	FBgn0035414	FBgn0035414	CG14965
CG32032	FBgn0043806	FBgn0043806	CG32032
CG15436	FBgn0031610	FBgn0031610	CG15436
CG8636	FBgn0029629	FBgn0029629	CG8636
CG13088	FBgn0032047	FBgn0032047	CG13088
CG7168	FBgn0038586	FBgn0038586	CG7168
H	FBgn0001169	FBgn0001169	H
CG18622	FBgn0038460	FBgn0038460	CG18622
CG34242	FBgn0085271	FBgn0085271	CG34242
CG32425	FBgn0052425	FBgn0052425	CG32425
CG5741	FBgn0264307	FBgn0264307	orb2
CG5741	FBgn0264305	FBgn0264305	CG43783
Trs23	FBgn0260861	FBgn0260861	Trs23
lbm	FBgn0016032	FBgn0016032	lbm
CG1677	FBgn0085967	FBgn0085967	Dsim\GD16158
CG1677	FBgn0029941	FBgn0029941	CG1677
rhi	FBgn0004400	FBgn0004400	rhi
CG9740	FBgn0037669	FBgn0037669	CG9740
Rrp42	FBgn0034065	FBgn0034065	Rrp42
CG33232	FBgn0084808	FBgn0084808	Dmir\CG33232
CG33232	FBgn0266696	FBgn0266696	CG45186
CCKLR-17D3	FBgn0030954	FBgn0030954	CCKLR-17D3
CG42241	FBgn0266377	FBgn0266377	Pde8
CG42737	FBgn0261701	FBgn0261701	CG42737
CG42737	FBgn0262838	FBgn0262838	CG43202
T48	FBgn0004359	FBgn0004359	T48
CG14408	FBgn0030581	FBgn0030581	CG14408
CG14408	FBgn0068698	FBgn0068698	Dsim\GD15836
CG10080	FBgn0034641	FBgn0034641	mahj
CG10602	FBgn0032720	FBgn0032720	mRpL13
CG10602	FBgn0032721	FBgn0032721	CG10602
CG11284	FBgn0030056	FBgn0030056	CG11284
tty	FBgn0015558	FBgn0015558	tty
apt	FBgn0015903	FBgn0015903	apt
scra	FBgn0261385	FBgn0261385	scra
CG7414	FBgn0037135	FBgn0037135	CG7414
CG14292	FBgn0064297	FBgn0064297	Dwil\GK22438
CG14292	FBgn0086439	FBgn0086439	Dvir\GJ14186
CG14292	FBgn0038658	FBgn0038658	CG14292
CG14292	FBgn0064439	FBgn0064439	Dpse\GA12884
CG14292	FBgn0064644	FBgn0064644	Dere\GG16294
CG33129	FBgn0053129	FBgn0053129	CG33129
CG15012	FBgn0068415	FBgn0068415	Dyak\GE20625
CG15012	FBgn0035528	FBgn0035528	CG15012
ctp	FBgn0011760	FBgn0011760	ctp
CG4822	FBgn0031220	FBgn0031220	CG4822
PGRP-LE	FBgn0030695	FBgn0030695	PGRP-LE
Mst57Dc	FBgn0011670	FBgn0011670	Mst57Dc
CG14764	FBgn0033236	FBgn0033236	CG14764
xmas-2	FBgn0028974	FBgn0028974	xmas-2
CG3770	FBgn0035085	FBgn0035085	CG3770
mRpS21	FBgn0044511	FBgn0044511	mRpS21
CG17019	FBgn0033783	FBgn0033783	CG17019
Jra	FBgn0001291	FBgn0001291	Jra
Tie	FBgn0014073	FBgn0014073	Tie
CG2158	FBgn0033264	FBgn0033264	Nup50
CG15484	FBgn0032452	FBgn0032452	CG15484
msi	FBgn0011666	FBgn0011666	msi
Tal	FBgn0023477	FBgn0023477	Tal
RabX6	FBgn0035155	FBgn0035155	RabX6
CG6876	FBgn0036487	FBgn0036487	Prp31
CG14227	FBgn0031058	FBgn0031058	CG14227
CG3803	FBgn0034938	FBgn0034938	CG3803
sktl	FBgn0016984	FBgn0016984	sktl
CG30047	FBgn0050047	FBgn0050047	CG30047
CG31717	FBgn0051717	FBgn0051717	CG31717
CG9259	FBgn0068202	FBgn0068202	Dyak\GE12891
CG9259	FBgn0032913	FBgn0032913	CG9259
Mt2	FBgn0028707	FBgn0028707	Mt2
CG32022	FBgn0052022	FBgn0052022	CG32022
CG10616	FBgn0086172	FBgn0086172	Dsim\CG10616
CG10616	FBgn0036286	FBgn0036286	CG10616
CG8668	FBgn0031988	FBgn0031988	CG8668
CG3368	FBgn0039508	FBgn0039508	CG3368
Hil	FBgn0050147	FBgn0050147	Hil
CG8211	FBgn0030858	FBgn0030858	IntS2
CG4119	FBgn0028474	FBgn0028474	CG4119
DppIII	FBgn0037580	FBgn0037580	DppIII
CG11858	FBgn0039305	FBgn0039305	CG11858
CG10139	FBgn0033951	FBgn0033951	CG10139
snoRNA:Psi18S-1377c	FBgn0083049	FBgn0083049	snoRNA:Psi18S-1377c
CG10927	FBgn0034360	FBgn0034360	CG10927
CG1136	FBgn0035490	FBgn0035490	CG1136
CG31159	FBgn0051159	FBgn0051159	EF-G2
CG6359	FBgn0038065	FBgn0038065	Snx3
mRpL55	FBgn0038678	FBgn0038678	mRpL55
wbl	FBgn0004003	FBgn0004003	wbl
CdsA	FBgn0010350	FBgn0010350	CdsA
CG1890	FBgn0039869	FBgn0039869	CG1890
RpL14	FBgn0017579	FBgn0017579	RpL14
CG11975	FBgn0037648	FBgn0037648	CG11975
Ugt35a	FBgn0026315	FBgn0026315	Ugt35a
Nup75	FBgn0034310	FBgn0034310	Nup75
Pc	FBgn0003042	FBgn0003042	Pc
CR32657	FBgn0052657	FBgn0052657	CR32657
CG32572	FBgn0052572	FBgn0052572	CG32572
CG1597	FBgn0030289	FBgn0030289	CG1597
CG11030	FBgn0031736	FBgn0031736	CG11030
LSm1	FBgn0261067	FBgn0261067	LSm1
CG18749	FBgn0042182	FBgn0042182	CG18749
Chrac-14	FBgn0043002	FBgn0043002	Chrac-14
ptip	FBgn0052133	FBgn0052133	ptip
CG32202	FBgn0052202	FBgn0052202	CG32202
slmb	FBgn0023423	FBgn0023423	slmb
CG17637	FBgn0037004	FBgn0037004	CG17637
CG17637	FBgn0045628	FBgn0045628	Dsim\CG17637
CG16863	FBgn0028931	FBgn0028931	CG16863
mbf1	FBgn0262732	FBgn0262732	mbf1
CG17221	FBgn0031500	FBgn0031500	CG17221
CG42564	FBgn0260766	FBgn0260766	CG42564
Mgstl	FBgn0025814	FBgn0025814	Mgstl
CG42237	FBgn0250862	FBgn0250862	CG42237
CG4942	FBgn0035960	FBgn0035960	CG4942
Cyt-c-d	FBgn0086907	FBgn0086907	Cyt-c-d
Nrt	FBgn0004108	FBgn0004108	Nrt
RpL17	FBgn0029897	FBgn0029897	RpL17
CG13538	FBgn0064647	FBgn0064647	Dere\GG22829
CG13538	FBgn0034820	FBgn0034820	CG13538
CG3835	FBgn0023507	FBgn0023507	CG3835
CG8814	FBgn0031478	FBgn0031478	CG8814
CG4802	FBgn0034215	FBgn0034215	Mtap
RpL7A	FBgn0014026	FBgn0014026	RpL7A
l(2)35Df	FBgn0001986	FBgn0001986	l(2)35Df
Gr66a	FBgn0035870	FBgn0035870	Gr66a
CG5224	FBgn0034354	FBgn0034354	GstE11
CG10064	FBgn0035724	FBgn0035724	CG10064
CG3476	FBgn0031881	FBgn0031881	CG3476
CG10747	FBgn0032845	FBgn0032845	CG10747
Eip63F-1	FBgn0004910	FBgn0004910	Eip63F-1
CG6608	FBgn0037852	FBgn0037852	Tpc1
l(2)37Cg	FBgn0086447	FBgn0086447	l(2)37Cg
GLaz	FBgn0033799	FBgn0033799	GLaz
beat-IIIc	FBgn0032629	FBgn0032629	beat-IIIc
CG10098	FBgn0037472	FBgn0037472	CG10098
phm	FBgn0004959	FBgn0004959	phm
CG17707	FBgn0068375	FBgn0068375	Dyak\GE16597
CG17707	FBgn0025835	FBgn0025835	CG17707
RpL22-like	FBgn0034837	FBgn0034837	RpL22-like
CG18594	FBgn0038973	FBgn0038973	Pebp1
CG18594	FBgn0068363	FBgn0068363	Dyak\GE10305
CG5463	FBgn0039153	FBgn0039153	CG5463
CG11347	FBgn0035542	FBgn0035542	DOR
snoRNA:Psi28S-291	FBgn0065064	FBgn0065064	snoRNA:Psi28S-291
CG4089	FBgn0037838	FBgn0037838	CG4089
msd1	FBgn0035209	FBgn0035209	msd1
Lip4	FBgn0032264	FBgn0032264	Lip4
Nmda1	FBgn0013305	FBgn0013305	Nmda1
CG17764	FBgn0029751	FBgn0029751	CG17764
CG11526	FBgn0035437	FBgn0035437	CG11526
trsn	FBgn0033528	FBgn0033528	trsn
Tdc1	FBgn0259977	FBgn0259977	Tdc1
CG13540	FBgn0034839	FBgn0034839	CG13540
mRpL30	FBgn0029718	FBgn0029718	mRpL30
CG30156	FBgn0050156	FBgn0050156	CG30156
CG11055	FBgn0082756	FBgn0082756	Dsim\GD11499
CG11055	FBgn0082777	FBgn0082777	Dsec\GM22000
CG11055	FBgn0034491	FBgn0034491	Hsl
Art1	FBgn0037834	FBgn0037834	Art1
CG5205	FBgn0038344	FBgn0038344	CG5205
Zasp66	FBgn0035917	FBgn0035917	Zasp66
Trf4-2	FBgn0039251	FBgn0039251	Trf4-2
RpI12	FBgn0038903	FBgn0038903	RpI12
scramb1	FBgn0052056	FBgn0052056	scramb1
CG1812	FBgn0031119	FBgn0031119	CG1812
tsl	FBgn0003867	FBgn0003867	tsl
Sir2	FBgn0024291	FBgn0024291	Sir2
CG30423	FBgn0050423	FBgn0050423	CG30423
CG12016	FBgn0035436	FBgn0035436	CG12016
CG7655	FBgn0038536	FBgn0038536	CG7655
CG9760	FBgn0036259	FBgn0036259	CG9760
RagA	unknown ID	-	-
Cog3	FBgn0031536	FBgn0031536	Cog3
CG5866	FBgn0038508	FBgn0038508	CG5866
CG13926	FBgn0035243	FBgn0035243	CG13926
Moca-cyp	FBgn0039581	FBgn0039581	Moca-cyp
mRpL37	FBgn0261380	FBgn0261380	mRpL37
CG32174	FBgn0052174	FBgn0052174	CG32174
l(1)G0334	FBgn0028325	FBgn0028325	l(1)G0334
snoRNA:Psi18S-1295	FBgn0083055	FBgn0083055	snoRNA:Psi18S-1295
Dyb	FBgn0033739	FBgn0033739	Dyb
CG9220	FBgn0030662	FBgn0030662	CG9220
CG18262	FBgn0030012	FBgn0030012	CG18262
CG32458	FBgn0262509	FBgn0262509	nrm
CG8136	FBgn0037616	FBgn0037616	CG8136
CG5746	FBgn0039186	FBgn0039186	CG5746
jog	unknown ID	-	-
CG3699	FBgn0040349	FBgn0040349	CG3699
GlcT-1	FBgn0067102	FBgn0067102	GlcT-1
CG8321	FBgn0033677	FBgn0033677	CG8321
nuf	FBgn0013718	FBgn0013718	nuf
CG2135	FBgn0039874	FBgn0039874	CG2135
Mad	FBgn0011648	FBgn0011648	Mad
bnl	FBgn0014135	FBgn0014135	bnl
CG9317	FBgn0032879	FBgn0032879	CG9317
rpk	FBgn0022981	FBgn0022981	rpk
CG7794	FBgn0038565	FBgn0038565	CG7794
CG1434	FBgn0030554	FBgn0030554	CG1434
CG18233	FBgn0036795	FBgn0036795	CG18233
CR32205	FBgn0052205	FBgn0052205	CR32205
Rrp45	FBgn0030789	FBgn0030789	Rrp45
CG15626	FBgn0031635	FBgn0031635	tank
Alh	FBgn0261238	FBgn0261238	Alh
ik2	FBgn0086657	FBgn0086657	ik2
Orc1	FBgn0022772	FBgn0022772	Orc1
spin	FBgn0086676	FBgn0086676	spin
CG3523	FBgn0027571	FBgn0027571	CG3523
CG3726	FBgn0029824	FBgn0029824	CG3726
Spat	FBgn0014031	FBgn0014031	Spat
p16-ARC	unknown ID	-	-
r	FBgn0003189	FBgn0003189	r
sxc	FBgn0261403	FBgn0261403	sxc
CG9747	FBgn0039754	FBgn0039754	CG9747
thoc7	FBgn0035110	FBgn0035110	thoc7
CG31777	FBgn0051777	FBgn0051777	CG31777
skap	FBgn0037643	FBgn0037643	skap
CG7536	FBgn0030890	FBgn0030890	CG7536
Tsp97E	FBgn0039465	FBgn0039465	Tsp97E
pps	FBgn0082831	FBgn0082831	pps
CG15695	FBgn0038832	FBgn0038832	CG15695
CG1233	FBgn0035137	FBgn0035137	CG1233
CG11275	FBgn0034706	FBgn0034706	CG11275
CG3630	FBgn0023540	FBgn0023540	CG3630
nahoda	FBgn0034797	FBgn0034797	nahoda
CG15019	FBgn0035541	FBgn0035541	CG15019
G-salpha60A	unknown ID	-	-
CG7518	FBgn0038108	FBgn0038108	CG7518
AGO1	FBgn0262739	FBgn0262739	AGO1
Rab35	FBgn0031090	FBgn0031090	Rab35
cas	FBgn0004878	FBgn0004878	cas
Fak56D	unknown ID	-	-
cdm	FBgn0261532	FBgn0261532	cdm
CG1227	FBgn0037491	FBgn0037491	CG1227
CG34104	FBgn0083940	FBgn0083940	RhoU
CG11943	FBgn0084615	FBgn0084615	Dmir\CG11943
CG11943	FBgn0083467	FBgn0083467	Dsim\GD17470
CG11943	FBgn0031078	FBgn0031078	Nup205
CG11329	FBgn0031848	FBgn0031848	CG11329
CG14795	FBgn0025393	FBgn0025393	CG14795
CG14795	FBgn0260215	FBgn0260215	Dmau\CG14795
CG14795	FBgn0260214	FBgn0260214	Dsim\CG14795
Sac1	FBgn0035195	FBgn0035195	Sac1
CG1665	FBgn0033451	FBgn0033451	CG1665
CG3714	FBgn0031589	FBgn0031589	CG3714
stmA	FBgn0086784	FBgn0086784	stmA
CG4673	FBgn0039348	FBgn0039348	Npl4
CG12301	FBgn0036514	FBgn0036514	CG12301
Act87E	FBgn0000046	FBgn0000046	Act87E
CG11852	FBgn0039297	FBgn0039297	CG11852
CG11852	FBgn0068476	FBgn0068476	Dyak\GE23575
CG10466	FBgn0032822	FBgn0032822	CG10466
CG6153	FBgn0032445	FBgn0032445	CG6153
dnr1	FBgn0260866	FBgn0260866	dnr1
CG17111	FBgn0039048	FBgn0039048	CG17111
CG9246	FBgn0032925	FBgn0032925	CG9246
CG3706	FBgn0040342	FBgn0040342	CG3706
CG4730	FBgn0039355	FBgn0039355	CG4730
Galpha73B	unknown ID	-	-
CG11660	FBgn0036187	FBgn0036187	RIOK1
SF2	FBgn0014817	FBgn0014817	Dsim\Sf2
SF2	FBal0008402	FBgn0001959	l(2)34Db
SF2	FBgn0040284	FBgn0040284	SF2
SF2	FBgn0040311	FBgn0040311	Hsap\SRSF1
CG7504	FBgn0035842	FBgn0035842	CG7504
CG9571	FBgn0031086	FBgn0031086	fd19B
CG9784	FBgn0030761	FBgn0030761	CG9784
CG4853	FBgn0034230	FBgn0034230	CG4853
CG42524	FBgn0260429	FBgn0260429	CG42524
CG32137	FBgn0052137	FBgn0052137	CG32137
pyd3	FBgn0037513	FBgn0037513	pyd3
G-oalpha47A	unknown ID	-	-
eas	FBgn0000536	FBgn0000536	eas
Arf72A	unknown ID	-	-
CG1753	FBgn0031148	FBgn0031148	Cbs
CG9630	FBgn0037561	FBgn0037561	CG9630
SMC2	FBgn0027783	FBgn0027783	SMC2
fbl	FBgn0011205	FBgn0011205	fbl
kz	FBgn0001330	FBgn0001330	kz
Clbn	FBgn0259152	FBgn0259152	Clbn
CG30100	FBgn0050100	FBgn0050100	CG30100
CG10424	FBgn0036848	FBgn0036848	CG10424
CG10424	FBgn0068509	FBgn0068509	Dyak\GE22782
Dak1	FBgn0028833	FBgn0028833	Dak1
Nup154	FBgn0021761	FBgn0021761	Nup154
CG9114	FBgn0030628	FBgn0030628	CG9114
CG14778	FBgn0029580	FBgn0029580	CG14778
CG1962	FBgn0032876	FBgn0032876	Cen
CG13313	FBgn0035941	FBgn0035941	CG13313
Edem2	FBgn0032480	FBgn0032480	Edem2
CG1513	FBgn0033463	FBgn0033463	CG1513
Psf2	FBgn0261976	FBgn0261976	Psf2
CG33970	FBgn0053970	FBgn0053970	CG33970
CG1681	FBgn0030484	FBgn0030484	GstT4
kermit	FBgn0010504	FBgn0010504	kermit
CG14353	FBgn0036771	FBgn0036771	CG14353
CG10803	FBgn0029666	FBgn0029666	CG10803
Mlh1	FBgn0011659	FBgn0011659	Mlh1
sec31	unknown ID	-	-
Socs44A	FBgn0033266	FBgn0033266	Socs44A
garz	FBgn0264560	FBgn0264560	garz
CG10082	FBgn0034644	FBgn0034644	CG10082
Thiolase	FBgn0025352	FBgn0025352	Thiolase
Ef2b	unknown ID	-	-
NFAT	FBgn0030505	FBgn0030505	NFAT
CG31068	FBgn0051068	FBgn0051068	CG31068
CG8331	FBgn0033906	FBgn0033906	CG8331
CG7137	FBgn0034422	FBgn0034422	CG7137
CG5991	FBgn0026576	FBgn0026576	CG5991
CG3530	FBgn0028497	FBgn0028497	CG3530
abo	FBgn0000018	FBgn0000018	abo
CG10562	FBgn0039326	FBgn0039326	CG10562
CG6904	FBgn0266064	FBgn0266064	GlyS
CG6904	FBgn0191854	FBgn0191854	Dsim\GD20381
CG6904	FBgn0146390	FBgn0146390	Dmoj\GI23664
CG6904	FBgn0180661	FBgn0180661	Dsec\GM25805
CG6904	FBgn0079941	FBgn0079941	Dpse\GA19945
CG6904	FBgn0159282	FBgn0159282	Dper\GL21689
CG6904	FBgn0210327	FBgn0210327	Dvir\GJ23225
CG6904	FBgn0094179	FBgn0094179	Dana\GF17161
CG6904	FBgn0122036	FBgn0122036	Dgri\GH14560
CG6904	FBgn0243435	FBgn0243435	Dyak\GE26410
CG6904	FBgn0215986	FBgn0215986	Dwil\GK13980
CG6904	FBgn0113075	FBgn0113075	Dere\GG20891
CG31302	FBgn0262483	FBgn0262483	Rbp
Dyrk3	FBgn0027101	FBgn0027101	Dyrk3
BCL7-like	FBgn0026149	FBgn0026149	BCL7-like
CG9300	FBgn0036886	FBgn0036886	CG9300
Apc	FBgn0015589	FBgn0015589	Apc
CG7841	FBgn0036502	FBgn0036502	CG7841
Rbp6	FBgn0260943	FBgn0260943	Rbp6
CG14715	FBgn0037930	FBgn0037930	CG14715
Atx2	FBgn0041188	FBgn0041188	Atx2
snRNA:U4:38AB	FBgn0003931	FBgn0003931	snRNA:U4:38AB
CG30005	FBgn0050005	FBgn0050005	GstT2
CG8006	FBgn0035857	FBgn0035857	CG8006
CG7967	FBgn0035251	FBgn0035251	CG7967
Pros26	unknown ID	-	-
ea	FBgn0000533	FBgn0000533	ea
CG5888	FBgn0028523	FBgn0028523	CG5888
CG32204	FBgn0052204	FBgn0052204	CG32204
CG33178	FBgn0053178	FBgn0053178	CG33178
CG17807	FBgn0034748	FBgn0034748	CG17807
Ama	FBgn0000071	FBgn0000071	Ama
eIF3-S10	FBgn0037249	FBgn0037249	eIF3-S10
KdelR	FBgn0267330	FBgn0267330	KdelR
CG12974	FBgn0037065	FBgn0037065	CG12974
torp4a	unknown ID	-	-
mei-217	FBgn0028581	FBgn0028581	mei-217
CG31053	FBgn0051053	FBgn0051053	CG31053
fz4	FBgn0027342	FBgn0027342	fz4
CG17294	FBgn0032032	FBgn0032032	CG17294
CG5885	FBgn0068285	FBgn0068285	Dyak\GE10193
CG5885	FBgn0025700	FBgn0025700	CG5885
CG4004	FBgn0030418	FBgn0030418	CG4004
eIF4E-6	FBgn0039622	FBgn0039622	eIF4E-6
CG11837	FBgn0039627	FBgn0039627	CG11837
Chc	FBgn0000319	FBgn0000319	Chc
fu	FBgn0001079	FBgn0001079	fu
CG8726	FBgn0033244	FBgn0033244	CG8726
CG13029	FBgn0064649	FBgn0064649	Dere\GG13586
CG13029	FBgn0036670	FBgn0036670	CG13029
MED17	FBgn0038578	FBgn0038578	MED17
CG7516	FBgn0261535	FBgn0261535	l(2)34Fd
HSPC300	FBgn0061198	FBgn0061198	HSPC300
scf	FBgn0025682	FBgn0025682	scf
CG8223	FBgn0037624	FBgn0037624	CG8223
Act57B	FBgn0000044	FBgn0000044	Act57B
CG8892	FBgn0031664	FBgn0031664	CG8892
Cpr	FBgn0015623	FBgn0015623	Cpr
Fs(2)Ket	FBgn0262743	FBgn0262743	Fs(2)Ket
CG17734	FBgn0037890	FBgn0037890	CG17734
Hnf4	FBgn0004914	FBgn0004914	Hnf4
Trf	FBgn0010287	FBgn0010287	Trf
CG2004	FBgn0030060	FBgn0030060	CG2004
how	FBgn0264491	FBgn0264491	how
CG18789	FBgn0042127	FBgn0042127	CG18789
CG7747	FBgn0034109	FBgn0034109	CG7747
Rpb8	FBgn0037121	FBgn0037121	Rpb8
CG42327	FBgn0259227	FBgn0259227	CG42327
CG6854	FBgn0266452	FBgn0266452	CTPsyn
CG6854	FBgn0266441	FBgn0266441	CG45071
Top3beta	FBgn0026015	FBgn0026015	Top3beta
Gyc-89Da	FBgn0038435	FBgn0038435	Gyc-89Da
CG3542	FBgn0031492	FBgn0031492	CG3542
cl	FBgn0000318	FBgn0000318	cl
CG3105	FBgn0034950	FBgn0034950	Pask
CG34195	FBgn0085224	FBgn0085224	CG34195
eca	FBgn0069242	FBgn0069242	eca
up	FBgn0004169	FBgn0004169	up
Taf2	FBgn0011836	FBgn0011836	Taf2
JhI-1	FBgn0028426	FBgn0028426	JhI-1
Oscp	FBgn0016691	FBgn0016691	Oscp
CG3356	FBgn0034989	FBgn0034989	CG3356
CG3287	FBgn0265003	FBgn0265003	koi
CG7990	FBgn0030997	FBgn0030997	CG7990
CG31357	FBgn0051357	FBgn0051357	CG31357
CG17350	FBgn0032772	FBgn0032772	CG17350
Vha44	FBgn0262511	FBgn0262511	Vha44
Ir21a	FBgn0031209	FBgn0031209	Ir21a
CG14814	FBgn0023515	FBgn0023515	CG14814
Tab2	FBgn0086358	FBgn0086358	Tab2
MESK2	FBgn0043070	FBgn0043070	MESK2
CG17242	FBgn0250841	FBgn0250841	CG17242
CG30001	FBgn0050001	FBgn0050001	CG30001
CG9596	FBgn0031832	FBgn0031832	CG9596
CG15330	FBgn0029987	FBgn0029987	CG15330
elB	FBgn0004858	FBgn0004858	elB
CG5934	FBgn0039505	FBgn0039505	CG5934
CG3709	FBgn0031227	FBgn0031227	CG3709
snRNA:U2:38ABa	FBgn0003922	FBgn0003922	snRNA:U2:38ABa
CG7218	FBgn0038569	FBgn0038569	CG7218
Csat	FBgn0024994	FBgn0024994	Csat
Rab9	FBgn0032782	FBgn0032782	Rab9
CG8310	FBgn0040377	FBgn0040377	Vha36-3
wun	FBgn0016078	FBgn0016078	wun
l(1)G0004	FBgn0027334	FBgn0027334	l(1)G0004
CG30296	FBgn0050296	FBgn0050296	RIC-3
ps	FBgn0261552	FBgn0261552	ps
CG5018	FBgn0263605	FBgn0263605	l(3)72Dn
Rpn12	FBgn0028693	FBgn0028693	Rpn12
CG4627	FBgn0033808	FBgn0033808	CG4627
CG8086	FBgn0032010	FBgn0032010	CG8086
bora	FBgn0259791	FBgn0259791	bora
CG5037	FBgn0032222	FBgn0032222	CG5037
CG5037	FBgn0078614	FBgn0078614	Dpse\GA18613
CG31957	FBgn0051957	FBgn0051957	CG31957
CG1332	FBgn0263110	FBgn0263110	CG43367
CecA2	FBgn0000277	FBgn0000277	CecA2
Spp	FBgn0031260	FBgn0031260	Spp
Pole2	FBgn0035644	FBgn0035644	Pole2
CG4848	FBgn0037998	FBgn0037998	CG4848
pyr	FBgn0033649	FBgn0033649	pyr
CG32177	FBgn0052177	FBgn0052177	Ndfip
CG15658	FBgn0086523	FBgn0086523	Dmir\CG15658
CG15658	FBgn0034602	FBgn0034602	Lapsyn
CG34431	FBgn0085460	FBgn0085460	CG34431
CG17917	FBgn0037431	FBgn0037431	CG17917
CG6511	FBgn0035923	FBgn0035923	CG6511
Abl	FBgn0000017	FBgn0000017	Abl
CRMP	FBgn0023023	FBgn0023023	CRMP
CG15385	FBgn0031397	FBgn0031397	CG15385
Sulf1	FBgn0040271	FBgn0040271	Sulf1
CG7326	FBgn0030970	FBgn0030970	CG7326
CG1789	FBgn0030063	FBgn0030063	CG1789
CG7337	FBgn0031374	FBgn0031374	CG7337
CG6927	FBgn0029733	FBgn0029733	CG6927
snoRNA:Psi18S-920	FBgn0083015	FBgn0083015	snoRNA:Psi18S-920
TSG101	FBgn0036666	FBgn0036666	TSG101
CG16972	FBgn0032481	FBgn0032481	CG16972
GstD3	FBgn0010039	FBgn0010039	GstD3
fws	FBgn0024689	FBgn0024689	fws
Obp83cd	FBgn0046878	FBgn0046878	Obp83cd
CG6509	FBgn0032363	FBgn0032363	CG6509
CG14830	FBgn0035755	FBgn0035755	CG14830
